agent_id,agent_age,agent_tenure,agent_status,agent_active_portfolio,agent_inactive_portfolio,time_stamp
AG_08879328,35.0,10,active,821.0,308.0,2017-01-31
AG_06175113,40.0,7,active,73.0,86.0,2017-01-31
AG_08153456,40.0,14,active,132.0,77.0,2017-01-31
AG_02139546,30.0,1,active,305.0,85.0,2017-01-31
AG_06247893,40.0,5,active,582.0,126.0,2017-01-31
AG_03963960,45.0,4,active,62.0,51.0,2017-01-31
AG_08296026,30.0,1,active,814.0,81.0,2017-01-31
AG_08954750,45.0,1,active,51.0,50.0,2017-01-31
AG_04179811,45.0,14,active,171.0,88.0,2017-01-31
AG_09507731,35.0,0,active,69.0,50.0,2017-01-31
AG_03047242,40.0,2,active,264.0,57.0,2017-01-31
AG_01843164,55.0,11,active,111.0,72.0,2017-01-31
AG_09199055,55.0,3,active,67.0,50.0,2017-01-31
AG_08842717,50.0,1,active,59.0,51.0,2017-01-31
AG_04827959,40.0,18,active,759.0,321.0,2017-01-31
AG_06764027,40.0,1,active,63.0,50.0,2017-01-31
AG_02778493,45.0,1,active,74.0,51.0,2017-01-31
AG_07920493,60.0,11,active,60.0,61.0,2017-01-31
AG_02377040,30.0,0,active,83.0,50.0,2017-01-31
AG_00431840,35.0,0,active,56.0,50.0,2017-01-31
AG_08049993,60.0,12,active,97.0,78.0,2017-01-31
AG_04367110,35.0,2,active,239.0,87.0,2017-01-31
AG_05376280,40.0,1,active,56.0,50.0,2017-01-31
AG_06631367,25.0,0,active,80.0,52.0,2017-01-31
AG_05485610,35.0,9,active,647.0,225.0,2017-01-31
AG_05236094,35.0,6,active,53.0,50.0,2017-01-31
AG_03198946,35.0,6,active,143.0,121.0,2017-01-31
AG_08372407,50.0,0,active,61.0,50.0,2017-01-31
AG_00843534,35.0,0,active,56.0,50.0,2017-01-31
AG_08857263,35.0,8,active,67.0,54.0,2017-01-31
AG_00798247,25.0,0,active,63.0,51.0,2017-01-31
AG_08921027,30.0,1,active,215.0,63.0,2017-01-31
AG_01639906,30.0,0,active,51.0,50.0,2017-01-31
AG_08183501,45.0,21,active,736.0,459.0,2017-01-31
AG_07100756,30.0,2,active,193.0,62.0,2017-01-31
AG_06662366,40.0,11,active,74.0,92.0,2017-01-31
AG_02393565,40.0,5,active,85.0,69.0,2017-01-31
AG_08172889,30.0,3,active,96.0,59.0,2017-01-31
AG_02400768,30.0,0,active,78.0,51.0,2017-01-31
AG_00052486,35.0,4,active,202.0,78.0,2017-01-31
AG_01430174,35.0,2,active,232.0,60.0,2017-01-31
AG_06398996,35.0,3,active,132.0,58.0,2017-01-31
AG_08169510,25.0,0,active,53.0,50.0,2017-01-31
AG_01544674,35.0,1,inactive,51.0,55.0,2017-01-31
AG_08606441,40.0,6,active,98.0,60.0,2017-01-31
AG_03380693,55.0,4,active,57.0,51.0,2017-01-31
AG_05589382,50.0,0,active,54.0,50.0,2017-01-31
AG_08259959,50.0,1,active,61.0,50.0,2017-01-31
AG_08338569,25.0,1,active,83.0,54.0,2017-01-31
AG_09100376,30.0,1,active,77.0,55.0,2017-01-31
AG_08081409,40.0,6,active,279.0,122.0,2017-01-31
AG_07934572,55.0,3,active,56.0,53.0,2017-01-31
AG_01884709,35.0,3,active,247.0,105.0,2017-01-31
AG_01488108,40.0,6,active,238.0,77.0,2017-01-31
AG_03419918,45.0,7,active,156.0,75.0,2017-01-31
AG_00968518,35.0,1,active,102.0,51.0,2017-01-31
AG_03298561,35.0,0,active,53.0,50.0,2017-01-31
AG_02073185,30.0,3,active,125.0,75.0,2017-01-31
AG_01926680,35.0,2,active,82.0,54.0,2017-01-31
AG_04539191,60.0,4,inactive,75.0,91.0,2017-01-31
AG_07523748,25.0,1,active,170.0,68.0,2017-01-31
AG_07791837,25.0,0,active,55.0,50.0,2017-01-31
AG_06035357,25.0,0,active,56.0,50.0,2017-01-31
AG_09854190,30.0,0,active,59.0,50.0,2017-01-31
AG_04297759,25.0,0,active,61.0,50.0,2017-01-31
AG_00349076,30.0,1,active,136.0,59.0,2017-01-31
AG_08703064,45.0,5,active,66.0,51.0,2017-01-31
AG_09442859,55.0,0,active,76.0,50.0,2017-01-31
AG_08772624,50.0,1,active,60.0,50.0,2017-01-31
AG_09445302,-0.0,3,active,110.0,92.0,2017-01-31
AG_00777662,40.0,2,active,53.0,50.0,2017-01-31
AG_09225292,35.0,1,active,54.0,50.0,2017-01-31
AG_09026367,30.0,1,active,90.0,52.0,2017-01-31
AG_05597914,35.0,6,active,301.0,141.0,2017-01-31
AG_01095394,30.0,0,active,71.0,50.0,2017-01-31
AG_06098022,30.0,2,active,65.0,50.0,2017-01-31
AG_08485450,55.0,1,active,54.0,50.0,2017-01-31
AG_07706941,35.0,9,active,195.0,63.0,2017-01-31
AG_04096227,25.0,1,active,122.0,54.0,2017-01-31
AG_09343745,50.0,11,active,77.0,62.0,2017-01-31
AG_00326442,40.0,6,active,72.0,55.0,2017-01-31
AG_01589097,50.0,13,active,84.0,62.0,2017-01-31
AG_09048885,25.0,0,active,66.0,50.0,2017-01-31
AG_02318591,50.0,12,active,159.0,75.0,2017-01-31
AG_03264725,45.0,1,active,61.0,51.0,2017-01-31
AG_08586192,30.0,4,active,143.0,71.0,2017-01-31
AG_08089774,35.0,2,active,98.0,54.0,2017-01-31
AG_01259219,40.0,2,active,100.0,57.0,2017-01-31
AG_03317630,50.0,11,active,51.0,56.0,2017-01-31
AG_02480516,30.0,4,active,51.0,50.0,2017-01-31
AG_07639318,45.0,5,active,65.0,56.0,2017-01-31
AG_03652054,55.0,2,active,89.0,55.0,2017-01-31
AG_09258290,35.0,9,active,60.0,122.0,2017-01-31
AG_04569451,35.0,0,active,56.0,50.0,2017-01-31
AG_00068801,35.0,1,active,128.0,55.0,2017-01-31
AG_00714787,30.0,3,active,99.0,59.0,2017-01-31
AG_02579510,-0.0,4,active,250.0,90.0,2017-01-31
AG_03583360,45.0,3,active,61.0,52.0,2017-01-31
AG_01146411,35.0,7,active,59.0,52.0,2017-01-31
AG_02389141,35.0,1,active,66.0,54.0,2017-01-31
AG_03621456,35.0,5,active,160.0,79.0,2017-01-31
AG_04996095,40.0,6,active,352.0,113.0,2017-01-31
AG_03024009,45.0,0,active,101.0,50.0,2017-01-31
AG_05335701,-0.0,11,active,5754.0,4629.0,2017-01-31
AG_04020848,60.0,4,active,68.0,50.0,2017-01-31
AG_00399244,35.0,3,active,133.0,56.0,2017-01-31
AG_03085292,35.0,2,active,146.0,57.0,2017-01-31
AG_00257254,30.0,2,active,55.0,55.0,2017-01-31
AG_09687672,50.0,11,active,80.0,58.0,2017-01-31
AG_06649660,65.0,19,active,56.0,67.0,2017-01-31
AG_03395436,45.0,7,active,55.0,53.0,2017-01-31
AG_00280857,30.0,2,active,157.0,53.0,2017-01-31
AG_05858814,25.0,1,active,134.0,53.0,2017-01-31
AG_06365131,35.0,3,active,78.0,50.0,2017-01-31
AG_03278073,55.0,3,active,56.0,50.0,2017-01-31
AG_07301883,30.0,0,active,51.0,50.0,2017-01-31
AG_05991860,30.0,3,active,124.0,74.0,2017-01-31
AG_04097667,25.0,1,active,182.0,58.0,2017-01-31
AG_03975363,45.0,14,active,59.0,55.0,2017-01-31
AG_02686790,30.0,1,active,53.0,51.0,2017-01-31
AG_09698205,25.0,2,active,126.0,61.0,2017-01-31
AG_09594161,35.0,1,active,52.0,50.0,2017-01-31
AG_01767953,40.0,2,active,62.0,50.0,2017-01-31
AG_06969594,40.0,0,active,68.0,51.0,2017-01-31
AG_03189525,55.0,6,active,241.0,107.0,2017-01-31
AG_03877705,45.0,7,active,667.0,306.0,2017-01-31
AG_07534614,50.0,2,active,317.0,73.0,2017-01-31
AG_08825312,30.0,2,active,158.0,54.0,2017-01-31
AG_03405053,30.0,2,active,190.0,67.0,2017-01-31
AG_01394840,35.0,5,active,77.0,58.0,2017-01-31
AG_04713008,35.0,2,active,388.0,83.0,2017-01-31
AG_00337245,30.0,2,active,55.0,55.0,2017-01-31
AG_01306283,60.0,1,active,56.0,51.0,2017-01-31
AG_02202999,50.0,12,active,60.0,56.0,2017-01-31
AG_00862528,30.0,1,active,85.0,52.0,2017-01-31
AG_07512854,40.0,9,active,57.0,51.0,2017-01-31
AG_06096467,40.0,5,active,73.0,52.0,2017-01-31
AG_03383512,35.0,6,active,277.0,115.0,2017-01-31
AG_01081999,55.0,4,active,51.0,50.0,2017-01-31
AG_08367225,60.0,3,active,173.0,57.0,2017-01-31
AG_04515297,25.0,2,active,93.0,54.0,2017-01-31
AG_09350601,35.0,1,active,95.0,51.0,2017-01-31
AG_03885914,30.0,4,active,60.0,52.0,2017-01-31
AG_03872316,30.0,1,active,52.0,50.0,2017-01-31
AG_05246863,25.0,1,active,80.0,52.0,2017-01-31
AG_04265819,30.0,1,active,71.0,50.0,2017-01-31
AG_04377203,30.0,0,active,52.0,50.0,2017-01-31
AG_06131623,45.0,0,active,128.0,50.0,2017-01-31
AG_03257277,30.0,1,active,67.0,50.0,2017-01-31
AG_00487918,45.0,1,active,51.0,50.0,2017-01-31
AG_02953931,40.0,11,active,78.0,86.0,2017-01-31
AG_01229058,35.0,4,active,184.0,59.0,2017-01-31
AG_03842300,40.0,3,active,121.0,53.0,2017-01-31
AG_05910238,55.0,0,active,92.0,51.0,2017-01-31
AG_08687088,25.0,1,active,141.0,57.0,2017-01-31
AG_07488065,35.0,2,active,58.0,51.0,2017-01-31
AG_09945124,45.0,6,active,67.0,52.0,2017-01-31
AG_07467896,40.0,2,active,61.0,50.0,2017-01-31
AG_02546353,40.0,5,active,121.0,66.0,2017-01-31
AG_08457986,30.0,0,active,64.0,50.0,2017-01-31
AG_09474831,35.0,5,active,118.0,59.0,2017-01-31
AG_07762188,35.0,2,active,56.0,50.0,2017-01-31
AG_09806845,30.0,1,active,103.0,53.0,2017-01-31
AG_02286536,35.0,2,active,51.0,50.0,2017-01-31
AG_04710753,25.0,0,active,80.0,50.0,2017-01-31
AG_05891987,40.0,6,active,95.0,63.0,2017-01-31
AG_00823562,40.0,5,active,88.0,84.0,2017-01-31
AG_07050640,45.0,6,active,119.0,78.0,2017-01-31
AG_00671520,25.0,1,active,96.0,60.0,2017-01-31
AG_08700062,40.0,6,active,240.0,90.0,2017-01-31
AG_03260319,35.0,2,active,147.0,112.0,2017-01-31
AG_01497305,45.0,0,active,156.0,51.0,2017-01-31
AG_06474208,30.0,3,active,63.0,50.0,2017-01-31
AG_00550776,45.0,14,inactive,71.0,91.0,2017-01-31
AG_06357950,40.0,1,active,93.0,52.0,2017-01-31
AG_05047481,30.0,0,active,119.0,51.0,2017-01-31
AG_04003555,50.0,1,active,56.0,50.0,2017-01-31
AG_03302830,30.0,3,active,127.0,59.0,2017-01-31
AG_08826251,45.0,2,active,135.0,55.0,2017-01-31
AG_03393453,35.0,8,active,99.0,115.0,2017-01-31
AG_05482592,40.0,9,active,112.0,100.0,2017-01-31
AG_02369643,40.0,2,active,72.0,53.0,2017-01-31
AG_00890949,25.0,4,active,93.0,78.0,2017-01-31
AG_00078557,45.0,3,active,105.0,55.0,2017-01-31
AG_08198185,25.0,1,active,97.0,52.0,2017-01-31
AG_07785917,40.0,2,active,196.0,69.0,2017-01-31
