agent_id,sum_assured,policy_premium,nb_riders,rider_premium,customer_marital_cd,customer_age,customer_social_group,customer_income,customer_additional_products,agent_age,agent_tenure,agent_active_portfolio,agent_inactive_portfolio,contact_channel_broker,contact_channel_direct,contact_channel_partnership,product_code_BP_00170090,product_code_BP_00334803,product_code_BP_00479053,product_code_BP_01087308,product_code_BP_01127451,product_code_BP_01183560,product_code_BP_01260044,product_code_BP_01308135,product_code_BP_01653768,product_code_BP_01817929,product_code_BP_01976597,product_code_BP_02048854,product_code_BP_02051691,product_code_BP_02392541,product_code_BP_02399030,product_code_BP_02483900,product_code_BP_02602657,product_code_BP_02713903,product_code_BP_03569413,product_code_BP_03610818,product_code_BP_03740581,product_code_BP_03765630,product_code_BP_03919759,product_code_BP_03922794,product_code_BP_04023598,product_code_BP_04044020,product_code_BP_04229248,product_code_BP_04345985,product_code_BP_04399222,product_code_BP_04624090,product_code_BP_04707731,product_code_BP_04904952,product_code_BP_05169954,product_code_BP_05367939,product_code_BP_05538098,product_code_BP_06134513,product_code_BP_06342177,product_code_BP_06646153,product_code_BP_06758239,product_code_BP_07119562,product_code_BP_07570704,product_code_BP_07665809,product_code_BP_07668115,product_code_BP_07897771,product_code_BP_08252793,product_code_BP_08384630,product_code_BP_08525135,product_code_BP_09034941,product_code_BP_09208081,product_code_BP_09391664,product_code_BP_09426101,product_code_BP_09740724,product_code_BP_09825120,product_code_BP_09828249,policy_status_cd_B,last_policy_status_cancelled,customer_origin_new,customer_gender_F,customer_gender_M,agent_status_inactive,customer_income_median,total_portfolio,percent_of_active_portfolio,percent_of_portfolio,Score,Better
AG_01009146,2381000.0,7216.666666666667,0.8333333333333334,1033.3333333333333,1.5,49.166666666666664,3.5,925833.3333333334,4.333333333333333,45.0,6.0,105.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,315000.0,260.0,0.40384615384615385,0.000533998229590485,0.20219007603787217,0
AG_06501959,1315428.5714285714,1628.5714285714287,1.3571428571428572,1178.5714285714287,1.1071428571428572,29.285714285714285,3.4285714285714284,59464.28571428572,1.9642857142857142,30.0,1.0,151.0,57.0,1.0,0.0,0.0,0.0,0.5357142857142857,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.35714285714285715,0.9285714285714286,0.4642857142857143,0.5357142857142857,0.0,55000.0,208.0,0.7259615384615384,0.000427198583672388,0.3631943685226054,1
AG_04514150,1406526.3157894737,2857.8947368421054,2.1578947368421053,2044.7368421052631,1.6578947368421053,37.36842105263158,3.1578947368421053,94210.52631578948,1.8157894736842106,40.0,6.0,245.0,93.0,1.0,0.0,0.0,0.0,0.15789473684210525,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.05263157894736842,0.8947368421052632,0.3157894736842105,0.631578947368421,0.0,77500.0,338.0,0.7248520710059172,0.0006941976984676304,0.36277313435219244,1
AG_00731599,1667888.888888889,2033.3333333333333,2.7777777777777777,1411.111111111111,1.6666666666666667,33.888888888888886,5.444444444444445,103333.33333333333,1.1111111111111112,40.0,11.0,84.0,58.0,1.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5555555555555556,0.4444444444444444,0.0,95000.0,142.0,0.5915492957746479,0.00029164518693018795,0.295920470480789,1
AG_09400485,1468000.0,1500.0,1.0,1100.0,1.5,27.5,3.0,57500.0,2.0,30.0,2.0,60.0,51.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,57500.0,111.0,0.5405405405405406,0.0002279761672482455,0.2703842583538944,0
AG_02911105,1315000.0,1975.0,2.0,1425.0,1.5,42.5,4.25,70000.0,2.25,35.0,0.0,69.0,50.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,0.0,70000.0,119.0,0.5798319327731093,0.00024440688200487584,0.2900381698275571,0
AG_08808367,1475200.0,2480.0,2.4,1800.0,1.4,37.0,1.4,70000.0,1.8,30.0,0.0,66.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.8,0.2,0.0,70000.0,116.0,0.5689655172413793,0.00023824536397113946,0.2846018813026752,0
AG_06284302,1269690.4761904762,2261.904761904762,1.6666666666666667,1766.6666666666667,2.0476190476190474,47.26190476190476,3.857142857142857,86666.66666666667,3.2857142857142856,50.0,18.0,983.0,918.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.07142857142857142,0.047619047619047616,0.0,0.0,0.14285714285714285,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.047619047619047616,0.0,0.14285714285714285,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.11904761904761904,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.40476190476190477,0.4523809523809524,0.5476190476190477,0.0,67500.0,1901.0,0.5170962651236192,0.0039043485940442766,0.26050030685883174,0
AG_05482592,1213000.0,2814.285714285714,1.8571428571428572,2242.8571428571427,0.0,27.857142857142858,7.0,70000.0,3.0,40.0,9.0,112.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.7142857142857143,0.0,0.0,70000.0,212.0,0.5283018867924528,0.00043541394105070313,0.2643686503667518,0
AG_09941415,1420000.0,1633.3333333333333,2.3333333333333335,1300.0,1.3333333333333333,31.666666666666668,5.0,63333.333333333336,1.3333333333333333,35.0,3.0,59.0,52.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,60000.0,111.0,0.5315315315315315,0.0002279761672482455,0.2658797538493899,0
